datestamp (bins),pricexvolume
2018-02-19,527489
2018-02-20,542084
2018-02-21,543354
2018-02-22,553956
2018-02-23,604693
2018-02-24,623065
2018-02-25,564301
2018-02-26,600345
2018-02-27,486190
2018-02-28,519214
2018-03-01,424376
2018-03-02,554708
2018-03-03,602287
2018-03-04,531841
2018-03-05,560667
2018-03-06,562442
2018-03-07,541305
2018-03-08,592314
2018-03-09,453165
2018-03-10,537171
2018-03-11,499819
2018-03-12,499700
2018-03-13,493580
2018-03-14,483635
2018-03-15,406818
2018-03-16,369081
2018-03-17,349207
2018-03-18,393977
2018-03-19,402756
2018-03-20,347773
2018-03-21,371101
2018-03-22,329524
2018-03-24,372812
2018-03-25,341934
2018-03-26,87799
2018-03-27,401929
2018-03-28,484344
2018-03-29,529054
2018-03-30,584899
2018-03-31,582945
2018-04-01,573647
2018-04-02,521617
2018-04-03,460228
2018-04-04,444106
2018-04-05,424300
2018-04-06,360807
2018-04-07,400845
2018-04-08,233509
2018-04-09,400309
2018-04-10,481906
2018-04-11,444054
2018-04-12,468387
2018-04-13,460403
2018-04-14,510019
2018-04-15,525059
2018-04-16,269648
2018-04-17,265303
2018-04-18,310781
2018-04-19,356358
2018-04-20,416496
2018-04-21,450499
2018-04-22,488775
2018-04-23,424510
2018-04-24,504354
2018-04-25,469230
2018-04-26,554587
2018-04-27,531199
2018-04-28,534031
2018-04-29,525127
2018-04-30,482718
2018-05-01,489796
2018-05-02,504831
2018-05-03,169720
2018-05-04,164681
2018-05-05,405859
2018-05-06,435597
2018-05-07,446646
2018-05-08,444482
2018-05-09,442166
2018-05-10,480409
2018-05-11,578835
2018-05-12,586023
2018-05-13,541743
2018-05-14,551047
2018-05-15,456762
2018-05-16,463755
2018-05-17,559363
2018-05-18,533525
2018-05-19,583644
2018-05-20,580813
2018-05-21,553564
2018-05-22,578356
2018-05-23,564302
2018-05-24,495017
2018-05-25,533807
2018-05-26,480416
2018-05-27,539134
2018-05-28,460362
2018-05-29,471942
2018-05-30,515491
2018-05-31,504581
2018-06-01,508697
2018-06-02,528771
2018-06-03,545486
2018-06-04,547213
2018-06-05,611288
2018-06-06,632737
2018-06-07,577670
2018-06-08,578305
2018-06-09,602029
2018-06-10,515489
2018-06-11,427706
2018-06-12,420161
2018-06-13,399732
2018-06-14,441574
2018-06-15,409052
2018-06-16,465482
2018-06-17,500389
2018-06-18,409151
2018-06-19,434735
2018-06-20,446284
2018-06-21,365538
2018-06-22,455493
2018-06-23,495914
2018-06-24,461380
2018-06-25,548444
2018-06-26,547282
2018-06-27,514466
2018-06-28,562055
2018-06-29,537236
2018-06-30,504349
2018-07-01,586286
2018-07-02,508584
2018-07-03,479074
2018-07-04,510074
2018-07-05,376693
2018-07-06,315323
2018-07-07,432649
2018-07-08,407942
2018-07-09,453400
2018-07-10,488997
2018-07-11,481173
2018-07-12,531652
2018-07-13,591855
2018-07-14,581268
2018-07-15,638635
2018-07-16,621873
2018-07-17,527670
2018-07-18,588445
2018-07-19,594912
2018-07-20,654271
2018-07-21,624185
2018-07-22,608718
2018-07-23,674459
2018-07-24,522671
2018-07-25,451103
2018-07-26,523288
2018-07-27,585128
2018-07-28,665391
2018-07-29,617064
2018-07-30,627302
2018-07-31,691468
2018-08-01,703954
2018-08-02,733001
2018-08-03,440993
2018-08-04,519855
2018-08-05,587461
2018-08-06,497487
2018-08-07,508939
2018-08-08,605007
2018-08-09,720934
2018-08-10,622572
2018-08-11,635137
2018-08-12,599561
2018-08-13,722067
2018-08-15,659320
2018-08-17,641780
2018-08-18,743210
2018-08-19,718480
2018-08-20,695348
2018-08-21,704940
2018-08-22,657138
2018-08-23,689979
2018-08-24,705234
2018-08-25,663204
2018-08-26,759433
2018-08-27,597843
2018-08-28,695847
2018-08-29,758896
2018-08-30,707903
2018-08-31,717654
2018-09-01,754401
2018-09-02,712214
2018-09-03,714635
2018-09-04,582034
2018-09-05,732624
2018-09-06,629181
2018-09-07,639876
2018-09-08,511943
2018-09-09,639245
2018-09-10,633211
2018-09-11,439573
2018-09-12,463771
2018-09-13,572100
2018-09-14,604503
2018-09-15,575129
2018-09-16,583835
2018-09-17,559010
2018-09-18,589716
2018-09-19,676488
2018-09-20,638854
2018-09-21,672351
2018-09-22,618153
2018-09-23,629672
2018-09-24,538090
2018-09-25,760240854852
2018-09-26,339731017347
2018-09-27,997003881718
2018-09-28,1838147773333
2018-09-29,1257092077678
2018-09-30,1432152124488
2018-10-01,1494947815230
2018-10-02,943806236673
2018-10-03,681669639038
2018-10-04,858507577756
2018-10-05,1324309307441
2018-10-06,2890904782558
2018-10-07,941877427637
2018-10-08,1603139059041
2018-10-09,1657092948801
2018-10-10,309392385991
2018-10-11,1614665027501
2018-10-12,1123356972775
2018-10-13,2380154363574
2018-10-14,3848635302
2018-10-15,1705910928966
2018-10-16,1441492498561
2018-10-17,50948914650
2018-10-18,1913457137060
2018-10-19,2143707665733
2018-10-20,849402353544
2018-10-21,1636272459739
2018-10-22,1872059499401
2018-10-23,1023806769004
2018-10-24,1664727095431
2018-10-25,1339824432389
2018-10-26,1499716430703
2018-10-27,2061266724764
2018-10-28,537563520998
2018-10-29,1074241675794
2018-10-30,1503725351086
2018-10-31,2130334542451
2018-11-01,2014566957508
2018-11-02,1260406806848
2018-11-04,1700038761588
2018-11-05,2117799084917
2018-11-06,2072149518930
2018-11-07,1209228969245
2018-11-08,1645257500687
2018-11-09,1390455839184
2018-11-10,2603514604750
2018-11-11,1373673152881
2018-11-12,2102680863609
2018-11-13,1838129672125
2018-11-14,1123193883533
2018-11-15,1658176412574
2018-11-16,2460488577414
2018-11-17,1413202869655
2018-11-18,1918352479250
2018-11-19,1275309756864
2018-11-20,2671089399781
2018-11-21,1246202726116
2018-11-22,2078887413160
2018-11-23,1580297198324
2018-11-24,2088569643420
2018-11-25,457481063027
2018-11-26,1032203642923
2018-11-27,1815640963245
2018-11-28,1851396497382
2018-11-29,2112303305149
2018-11-30,1350322499385
2018-12-02,562560185402
2018-12-03,843184708595
2018-12-04,2148325627511
2018-12-05,2292637249620
2018-12-06,1887416819167
2018-12-08,4262098616490
2018-12-10,3401797243720
2018-12-11,1984434941257
2018-12-12,2829198688977
2018-12-13,3280041375851
2018-12-14,2753648382380
2018-12-15,2743163989951
2018-12-16,426893743271
2018-12-17,1677955805380
2018-12-18,3717172926322
2018-12-19,2607409660532
2018-12-20,2784897110336
2018-12-21,3307779021333
2018-12-22,2408454450263
2018-12-23,4324147856050
2018-12-24,3504380094122
2018-12-25,2250494184944
2018-12-26,2849792271194
2018-12-27,6430348988454
2018-12-28,2610848718163
2018-12-29,6802957654871
2018-12-30,3463809461991
2018-12-31,5180199702807
2019-01-01,3091299374890
2019-01-02,5079845368637
2019-01-03,4143604444873
2019-01-04,3286956683873
2019-01-05,5609519334745
2019-01-06,1249337474884
2019-01-07,2213420998201
2019-01-09,4072382174196
2019-01-11,3231029177888
2019-01-12,5865215993978
2019-01-13,1845807615351
2019-01-14,4336648359249
2019-01-15,4709754823032
2019-01-16,4063781064041
2019-01-17,4786694718508
2019-01-18,4343967867553
2019-01-19,5889040333264
2019-01-20,498458015696
2019-01-21,3061129720288
2019-01-22,5642390709595
2019-01-23,154729216216
