datestamp,itemname,volume
2018-09-25,K,0
2018-09-25,L,0
2018-09-26,K,0
2018-09-26,L,0
2018-09-27,K,0
2018-09-27,L,0
2018-09-28,K,0
2018-09-28,L,0
2018-09-29,K,0
2018-09-29,L,0
2018-09-30,K,0
2018-09-30,L,0
2018-10-01,K,0
2018-10-01,L,0
2018-10-02,K,0
2018-10-03,K,0
2018-10-03,L,0
2018-10-04,K,0
2018-10-04,L,0
2018-10-05,K,0
2018-10-05,L,0
2018-10-06,K,0
2018-10-06,L,0
2018-10-07,K,0
2018-10-07,L,0
2018-10-08,K,0
2018-10-08,L,0
2018-10-09,K,0
2018-10-09,L,2
2018-10-10,K,0
2018-10-10,L,0
2018-10-11,K,0
2018-10-11,L,0
2018-10-12,K,0
2018-10-12,L,0
2018-10-13,K,0
2018-10-13,L,0
2018-10-14,K,0
2018-10-14,L,0
2018-10-15,K,0
2018-10-15,L,0
2018-10-16,K,0
2018-10-16,L,0
2018-10-17,K,0
2018-10-17,L,0
2018-10-18,K,0
2018-10-18,L,0
2018-10-19,K,0
2018-10-19,L,0
2018-10-20,K,0
2018-10-20,L,0
2018-10-21,K,0
2018-10-21,L,0
2018-10-22,K,0
2018-10-22,L,0
2018-10-23,K,0
2018-10-23,L,0
2018-10-24,K,0
2018-10-24,L,0
2018-10-25,K,0
2018-10-25,L,0
2018-10-26,K,0
2018-10-26,L,0
2018-10-27,K,0
2018-10-27,L,0
2018-10-28,K,0
2018-10-28,L,0
2018-10-29,K,0
2018-10-29,L,0
2018-10-30,K,0
2018-10-30,L,0
2018-10-31,K,0
2018-10-31,L,1
2018-11-01,K,0
2018-11-01,L,0
2018-11-02,K,0
2018-11-02,L,0
2018-11-04,K,0
2018-11-04,L,0
2018-11-05,K,0
2018-11-05,L,0
2018-11-06,K,0
2018-11-06,L,0
2018-11-07,K,0
2018-11-07,L,0
2018-11-08,K,0
2018-11-08,L,0
2018-11-09,K,0
2018-11-09,L,0
2018-11-10,K,0
2018-11-10,L,0
2018-11-11,K,0
2018-11-11,L,0
2018-11-12,K,0
2018-11-12,L,1
2018-11-13,K,0
2018-11-13,L,0
2018-11-14,K,0
2018-11-14,L,0
2018-11-15,K,0
2018-11-15,L,0
2018-11-16,K,0
2018-11-16,L,0
2018-11-17,K,0
2018-11-17,L,0
2018-11-18,K,0
2018-11-18,L,0
2018-11-19,K,0
2018-11-19,L,0
2018-11-20,K,0
2018-11-20,L,1
2018-11-21,K,0
2018-11-21,L,0
2018-11-22,K,0
2018-11-22,L,0
2018-11-23,K,0
2018-11-23,L,0
2018-11-24,K,0
2018-11-24,L,0
2018-11-25,K,0
2018-11-25,L,0
2018-11-26,K,0
2018-11-26,L,0
2018-11-27,K,0
2018-11-27,L,0
2018-11-28,K,0
2018-11-28,L,0
2018-11-29,K,0
2018-11-29,L,1
2018-11-30,K,0
2018-11-30,L,0
2018-12-02,K,0
2018-12-02,L,0
2018-12-03,K,0
2018-12-03,L,0
2018-12-04,K,0
2018-12-04,L,0
2018-12-05,K,0
2018-12-05,L,0
2018-12-06,K,0
2018-12-06,L,0
2018-12-08,K,0
2018-12-08,L,0
2018-12-10,K,0
