datestamp,Max of unitprofit
2018-09-25,271
2018-09-26,255
2018-09-27,289
2018-09-28,271
2018-09-29,608
2018-09-30,608
2018-10-01,605
2018-10-03,384
2018-10-04,580
2018-10-05,581
2018-10-06,256
2018-10-07,242
2018-10-08,425
2018-10-09,332
2018-10-10,265
2018-10-11,251
2018-10-12,223
2018-10-13,217
2018-10-14,214
2018-10-15,213
2018-10-16,321
2018-10-17,322
2018-10-18,214
2018-10-19,238
2018-10-20,251
2018-10-21,229
2018-10-22,226
2018-10-23,192
2018-10-24,255
2018-10-25,205
2018-10-26,281
2018-10-27,206
2018-10-28,260
2018-10-29,245
2018-10-30,250
2018-10-31,297
2018-11-01,531
2018-11-02,534
2018-11-04,666
2018-11-05,774
2018-11-06,765
2018-11-07,687
2018-11-08,686
2018-11-09,468
2018-11-10,468
2018-11-11,275
2018-11-12,349
2018-11-13,376
2018-11-14,371
2018-11-16,181
2018-11-17,145
2018-11-18,224
2018-11-19,220
2018-11-20,115
2018-11-21,165
2018-11-22,204
2018-11-23,192
2018-11-24,164
2018-11-25,178
2018-11-26,295
2018-11-27,208
2018-11-28,151
2018-11-29,147
2018-11-30,141
2018-12-02,177
2018-12-03,156
2018-12-04,169
2018-12-05,260
2018-12-06,202
2018-12-08,1418
2018-12-10,2239
2018-12-11,1611
2018-12-12,1289
2018-12-13,1559
2018-12-14,1232
2018-12-15,1480
2018-12-16,1401
2018-12-17,2079
2018-12-18,2126
2018-12-19,1257
2018-12-20,954
2018-12-21,935
2018-12-22,1172
2018-12-23,1192
2018-12-24,1076
2018-12-25,1084
2018-12-26,1177
2018-12-27,1327
2018-12-28,1564
2018-12-29,1712
2018-12-30,1375
2018-12-31,2089
2019-01-01,1695
2019-01-02,1682
2019-01-03,1560
2019-01-04,1681
2019-01-05,1941
2019-01-06,2197
2019-01-07,1839
2019-01-09,1640
2019-01-11,2034
2019-01-12,2166
2019-01-13,1570
2019-01-14,1516
2019-01-15,1511
2019-01-16,1851
2019-01-17,1465
2019-01-18,1457
2019-01-19,1261
2019-01-20,1419
2019-01-21,1280
2019-01-22,952
2019-01-23,863
2019-01-24,1195
2019-01-25,1273
2019-01-26,1073
2019-01-27,1435
2019-01-28,1884
2019-01-30,1259
2019-01-31,1285
2019-02-01,1779
2019-02-02,1447
2019-02-03,1760
2019-02-04,1436
2019-02-05,1239
2019-02-06,1407
2019-02-07,2024
2019-02-08,1446
2019-02-09,1256
2019-02-10,1464
2019-02-11,1164
2019-02-12,1111
2019-02-13,1034
2019-02-14,1383
2019-02-15,1391
2019-02-16,1397
2019-02-17,1151
2019-02-18,1290
2019-02-19,1057
2019-02-20,994
2019-02-21,1332
2019-02-22,2205
2019-02-23,2235
2019-02-24,1342
2019-02-25,1232
2019-02-26,943
2019-02-27,898
2019-02-28,1051
2019-03-01,1689
2019-03-02,1202
2019-03-03,1411
2019-03-04,1610
2019-03-05,1440
2019-03-06,1035
2019-03-07,1456
2019-03-08,1238
2019-03-09,1293
2019-03-10,1226
2019-03-11,1777
2019-03-12,1152
2019-03-13,911
2019-03-14,1121
2019-03-15,955
2019-03-16,979
2019-03-17,980
2019-03-18,1025
2019-03-19,1292
2019-03-20,3827
2019-03-21,904
2019-03-22,1303
2019-03-23,1298
2019-03-24,1167
2019-03-25,991
2019-03-26,1227
2019-03-27,1837
2019-03-28,1343
2019-03-29,1308
2019-03-30,1131
2019-03-31,1063
2019-04-01,1058
2019-04-02,981
2019-04-03,1309
2019-04-04,1214
2019-04-05,1213
2019-04-06,1212
2019-04-07,1213
2019-04-08,1850
2019-04-09,774
2019-04-10,722
2019-04-11,1028
2019-04-12,1033
2019-04-13,1167
2019-04-14,1040
2019-04-15,1377
2019-04-16,1351
2019-04-17,1352
2019-04-18,1204
2019-04-19,1206
2019-04-20,1378
2019-04-21,1279
2019-04-22,1326
2019-04-23,1433
2019-04-24,1065
2019-04-25,1224
2019-04-26,1148
2019-04-27,1529
2019-04-28,1249
2019-04-29,1304
2019-04-30,1281
2019-05-01,1309
2019-05-02,1494
2019-05-03,1239
2019-05-04,1593
2019-05-05,1593
2019-05-06,3255
2019-05-07,1134
2019-05-08,1336
2019-05-09,1127
2019-05-10,1140
2019-05-11,1131
2019-05-12,1556
2019-05-13,1556
2019-05-14,1247
2019-05-15,1246
2019-05-16,1248
2019-05-17,849
2019-05-18,848
2019-05-19,790
2019-05-20,879
2019-05-21,980
2019-05-22,708
2019-05-23,1320
2019-05-24,687
2019-05-25,718
2019-05-26,812
2019-05-27,912
2019-05-28,1058
2019-05-29,713
2019-05-30,770
2019-05-31,952
2019-06-01,954
2019-06-02,1001
2019-06-03,1441
2019-06-04,1310
2019-06-05,1127
2019-06-06,1203
2019-06-07,1018
2019-06-08,1356
2019-06-09,1360
2019-06-10,1007
2019-06-11,987
2019-06-12,838
2019-06-13,860
2019-06-14,723
2019-06-15,1064
2019-06-16,1079
2019-06-17,1067
2019-06-18,1212
2019-06-19,1774
2019-06-20,1372
2019-06-21,1095
2019-06-22,1184
2019-06-23,1284
2019-06-24,1197
2019-06-25,922
2019-06-26,1133
2019-06-27,793
2019-06-28,705
2019-06-29,757
2019-06-30,864
2019-07-01,1022
2019-07-02,731
2019-07-03,1234
2019-07-04,1103
2019-07-05,735
2019-07-06,851
2019-07-07,1208
2019-07-08,1187
2019-07-09,972
2019-07-10,991
2019-07-11,875
2019-07-12,969
2019-07-13,1423
2019-07-14,909
2019-07-15,1145
2019-07-16,1040
2019-07-17,904
2019-07-18,1056
2019-07-19,1018
2019-07-20,917
2019-07-21,942
2019-07-22,1464
2019-07-23,832
2019-07-24,753
2019-07-25,921
2019-07-26,713
2019-07-27,2550
2019-07-28,2552
2019-07-29,2553
2019-07-30,2437
2019-07-31,2437
2019-08-01,1465
2019-08-02,1467
2019-08-03,1468
2019-08-04,1234
2019-08-05,1204
2019-08-06,1052
2019-08-07,902
2019-08-08,3876
2019-08-09,904
2019-08-10,1132
2019-08-11,1256
2019-08-12,1116
2019-08-13,2095
2019-08-14,1471
2019-08-15,1188
2019-08-16,1899
2019-08-17,1200
2019-08-18,1107
2019-08-19,1258
2019-08-20,1098
2019-08-21,1295
2019-08-22,1119
2019-08-23,1191
2019-08-24,981
2019-08-25,1150
2019-08-26,1099
2019-08-27,1170
2019-08-28,1134
2019-08-29,743
2019-08-30,1622
2019-09-01,802
2019-09-02,1003
2019-09-03,1044
2019-09-04,994
2019-09-06,813
2019-09-07,1655
2019-09-08,1682
2019-09-09,1683
2019-09-10,1302
2019-09-12,1303
2019-09-13,1076
2019-09-14,1075
2019-09-15,1072
2019-09-16,1026
2019-09-17,1160
2019-09-18,913
2019-09-19,927
2019-09-20,977
2019-09-21,1254
2019-09-22,1171
2019-09-23,1234
2019-09-24,844
2019-09-25,844
2019-09-26,878
2019-09-28,1255
2019-09-29,1131
2019-09-30,1150
2019-10-01,1477
2019-10-03,1470
2019-10-04,1127
2019-10-05,1184
2019-10-06,1536
2019-10-07,1398
2019-10-09,1428
2019-10-10,1182
2019-10-11,1205
2019-10-12,1512
2019-10-14,1783
2019-10-15,1563
2019-10-16,1688
2019-10-17,1228
2019-10-18,1583
2019-10-20,2034
2019-10-21,2077
2019-10-22,2252
2019-10-23,1952
2019-10-24,1894
2019-10-25,1771
2019-10-26,1919
2019-10-27,1787
2019-10-28,2804
2019-10-29,2059
2019-10-30,2054
2019-10-31,2404
2019-11-01,1979
2019-11-02,1839
2019-11-03,1974
2019-11-04,2109
2019-11-05,2203
2019-11-06,2461
2019-11-07,1974
2019-11-08,1685
2019-11-09,1832
2019-11-10,2106
2019-11-11,1543
2019-11-12,1332
2019-11-13,1092
2019-11-14,1021
2019-11-15,1336
2019-11-16,750
2019-11-17,1107
2019-11-18,1107
2019-11-19,817
2019-11-20,1207
2019-11-21,1208
2019-11-22,1209
2019-11-23,1010
2019-11-24,1000
2019-11-25,1122
2019-11-26,1254
2019-11-27,969
2019-11-28,968
2019-11-29,2184
2019-11-30,2175
2019-12-01,1257
2019-12-02,1364
2019-12-03,1380
2019-12-04,1120
2019-12-05,1123
2019-12-06,1133
2019-12-07,1106
2019-12-08,1040
2019-12-09,1573
2019-12-10,959
2019-12-11,881
2019-12-12,1056
2019-12-13,817
2019-12-14,1048
2019-12-15,1729
2019-12-16,1092
2019-12-17,906
2019-12-18,775
2019-12-19,792
2019-12-20,1080
2019-12-21,1095
2019-12-22,1332
2019-12-23,1319
2019-12-24,1136
2019-12-25,1135
2019-12-26,896
2019-12-27,1437
2019-12-28,1132
2019-12-29,1161
2019-12-30,1111
2019-12-31,850
2020-01-01,719
2020-01-02,777
2020-01-03,868
2020-01-04,976
2020-01-05,1001
2020-01-06,969
2020-01-07,920
2020-01-08,780
2020-01-09,890
2020-01-10,791
2020-01-11,1056
2020-01-12,1059
2020-01-13,1087
2020-01-14,1232
2020-01-15,1241
2020-01-16,991
2020-01-17,1484
2020-01-18,857
2020-01-19,1298
2020-01-20,1074
2020-01-21,714
2020-01-22,715
2020-01-23,664
2020-01-24,665
2020-01-25,880
2020-01-26,1401
2020-01-27,1394
2020-01-28,816
2020-01-29,837
2020-01-30,739
2020-01-31,869
2020-02-01,1469
2020-02-02,893
2020-02-03,983
2020-02-04,2943
2020-02-05,1783
2020-02-06,1114
2020-02-07,1261
2020-02-08,2710
2020-02-09,1518
2020-02-10,1021
2020-02-11,836
2020-02-12,4000
2020-02-13,788
2020-02-14,767
2020-02-15,908
2020-02-16,1036
2020-02-18,1116
2020-02-19,1115
2020-02-20,1115
2020-02-21,721
2020-02-22,620
2020-02-23,1075
2020-02-24,1129
2020-02-25,832
2020-02-26,831
2020-02-27,801
2020-02-28,957
2020-02-29,839
2020-03-01,1310
2020-03-02,1186
2020-03-03,816
2020-03-04,760
2020-03-05,868
2020-03-06,723
2020-03-07,1364
2020-03-08,1369
2020-03-09,852
2020-03-10,1057
2020-03-11,1144
2020-03-12,1026
2020-03-13,877
2020-03-14,1006
2020-03-15,979
2020-03-16,1098
2020-03-17,810
2020-03-18,822
2020-03-19,1016
2020-03-20,950
2020-03-21,955
2020-03-22,1001
2020-03-23,1155
2020-03-24,1062
2020-03-25,847
2020-03-26,693
2020-03-27,657
2020-03-28,722
2020-03-29,934
2020-03-30,913
2020-03-31,774
2020-04-01,648
2020-04-02,646
2020-04-03,718
2020-04-04,1622
2020-04-05,1204
2020-04-06,925
2020-04-07,681
2020-04-08,709
2020-04-09,621
2020-04-10,620
2020-04-11,721
2020-04-12,931
2020-04-13,902
2020-04-14,751
2020-04-15,979
2020-04-16,714
2020-04-17,1200
2020-04-18,1777
2020-04-19,782
2020-04-20,807
2020-04-21,1013
2020-04-22,789
2020-04-23,587
2020-04-24,568
2020-04-25,754
2020-04-26,974
2020-04-27,1092
2020-04-28,741
2020-04-29,666
2020-04-30,761
2020-05-01,868
2020-05-03,629
2020-05-04,644
2020-05-05,628
2020-05-06,590
2020-05-07,762
2020-05-08,884
2020-05-09,905
2020-05-10,992
2020-05-11,807
2020-05-12,663
2020-05-13,829
2020-05-14,593
2020-05-15,835
2020-05-16,927
2020-05-17,958
2020-05-18,1028
2020-05-19,870
2020-05-20,1117
2020-05-21,1341
2020-05-22,1290
2020-05-23,1286
2020-05-24,1140
2020-05-25,1139
2020-05-26,1115
2020-05-27,1031
2020-05-28,998
2020-05-29,934
2020-05-30,988
2020-05-31,2000
2020-06-02,1258
2020-06-03,1036
2020-06-04,891
2020-06-05,912
2020-06-06,924
2020-06-07,1286
2020-06-08,1270
2020-06-09,1211
2020-06-10,1162
2020-06-11,868
2020-06-12,841
2020-06-13,1048
2020-06-14,1017
2020-06-15,1013
2020-06-16,835
2020-06-17,949
2020-06-18,799
2020-06-19,970
2020-06-20,934
2020-06-21,1099
2020-06-22,977
2020-06-23,924
2020-06-24,864
2020-06-25,829
2020-06-26,1078
2020-06-27,1058
2020-06-28,1011
2020-06-29,1150
2020-06-30,1144
2020-07-01,956
2020-07-02,1011
2020-07-03,943
2020-07-04,866
2020-07-05,1111
2020-07-06,983
2020-07-07,1025
2020-07-08,1024
2020-07-09,1023
2020-07-10,898
2020-07-11,900
2020-07-12,1039
2020-07-13,2645
2020-07-14,1077
2020-07-15,1101
2020-07-16,1257
2020-07-17,1119
2020-07-18,883
2020-07-19,1066
2020-07-20,1181
2020-07-21,1215
2020-07-22,1216
