datestamp,Sum of totalprofit
2020-06-30,1382738950
2020-06-22,1147704048
2020-07-06,1118357800
2020-07-25,1029774060
2020-07-03,1013826419
2020-07-28,1003178610
2020-07-13,987660616
2020-07-04,973952616
2020-08-10,969722208
2020-07-10,936330840
2020-08-01,918485840
2020-07-14,911551028
2020-06-26,906115460
2020-07-11,894811590
2020-07-22,884635584
2020-08-12,878158899
2019-10-28,874186614
2020-06-25,874007200
2020-08-07,847116496
2020-07-15,841086435
2020-06-28,835427327
2020-06-23,834959424
2020-06-10,829645140
2020-06-29,822986948
2020-07-27,816172227
2020-06-24,810731050
2020-07-08,805075704
2020-07-29,804241445
2020-07-23,798729480
2020-07-02,795586341
