itemname,Sum of totalprofit,Average of unitprofit
Air battlestaff,127103221390,61.50
Black d'hide body,90642893708,381.19
Onyx bolts (e),50335569764,93.60
Adamant platebody,44633479263,214.95
Blue d'hide body,43289601878,259.67
Green d'hide body,41285815438,165.48
Red d'hide body,22227648725,325.00
Mithril platebody,20899342618,141.25
Rune 2h sword,14477327112,281.17
Rune platelegs,11400979618,279.58
Rune kiteshield,8219651156,268.42
Rune full helm,7963908705,220.13
Rune longsword,6826574533,245.26
Earth battlestaff,6248108545,67.14
Rune platebody,6231673123,222.99
Rune plateskirt,4127008278,246.96
Dragon med helm,4075367535,697.47
Combat bracelet,3950284064,65.25
Dragon platelegs,3737919818,437.08
Dragon plateskirt,3501845460,466.74
Dragon longsword,3401963508,392.69
Fire battlestaff,3240379397,51.15
Redwood shield,3204276837,142.69
Rune chainbody,2748849996,196.69
Rune med helm,2725595712,145.72
