itemname,Sum of totalprofit,Min of unitprofit
Black d'hide body,90642893708,112
Adamant platebody,44633479263,35
Blue d'hide body,43289601878,38
Green d'hide body,41285815438,44
Red d'hide body,22227648725,60
Rune 2h sword,14477327112,92
Rune platelegs,11400979618,88
Rune kiteshield,8219651156,121
Rune full helm,7963908705,91
Rune longsword,6826574533,103
Rune platebody,6231673123,56
Rune plateskirt,4127008278,33
Dragon med helm,4075367535,242
Dragon plateskirt,3501845460,122
Dragon longsword,3401963508,82
Redwood shield,3204276837,33
Rune chainbody,2748849996,52
Rune med helm,2725595712,15
Rune axe,2706563694,40
Rune sq shield,2408181253,85
Rune battleaxe,2007642686,50
Torn prayer scroll,1185790506,406
Rune spear,897453210,44
Lava battlestaff,823327871,153
Rune hasta,469884524,50
