itemname,Max of unitprofit
Torag's hammers,4000
Heavy ballista,3876
Dragon sq shield,3255
Torn prayer scroll,2804
Dragon battleaxe,2710
Ancient crystal,2553
Drake's tooth,2437
Mystic robe top,2252
Dragon med helm,2166
Armadyl plateskirt,2095
Ancient plateskirt,1724
Light frame,1695
Broken dragon hasta,1683
Mystic set (blue),1534
Rock-shell plate,1469
Saradomin plateskirt,1462
Bandos boots,1423
Ballista spring,1352
Steel dragon mask,1341
Dragon halberd,1257
Dragon plateskirt,1255
Rune plateskirt (t),1248
Guthix plateskirt,1241
Dragon mace,1211
Mystic lava staff,1204
